"Tax filers and dependants 15 years of age and over with labour income by sex and age 1 2 3 4"
"Frequency: Annual"
"Table: 11-10-0023-01 (formerly CANSIM 111-0018)"
"Release date: 2025-07-18"
"Geography: Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"
""
""

,"Geography 5","Canada",,,,,
,"Labour characteristics 2","Total labour income 2",,,"Labour participation rate 6 7",,
"Sex","Age group 3","2021","2022","2023","2021","2022","2023"
,,"Number",,,"Rate",,
"Both sexes","All age groups 3","20,909,320","21,563,460","22,117,940","67.8","68.0","67.3"
,"15 to 19 years 3","909,920","963,520","945,840","41.8","42.9","40.5"
,"20 to 24 years 3","1,855,640","1,960,340","2,044,110","86.3","87.0","85.1"
,"25 to 29 years 3","2,169,380","2,271,290","2,392,150","87.3","87.6","86.8"
,"30 to 34 years 3","2,246,650","2,369,580","2,492,120","86.2","86.2","85.5"
,"35 to 39 years 3","2,210,380","2,282,290","2,373,620","85.8","85.8","85.1"
,"40 to 44 years 3","2,100,240","2,178,390","2,265,020","86.3","86.2","85.6"
,"45 to 49 years 3","1,956,920","1,998,530","2,046,500","86.3","86.5","86.0"
,"50 to 54 years 3","1,915,150","1,930,470","1,936,980","84.9","85.2","84.9"
,"55 to 59 years 3","1,982,110","1,934,570","1,882,390","80.3","80.5","80.2"
,"60 to 64 years 3","1,674,890","1,711,250","1,728,890","68.0","68.6","68.1"
,"65 years and over 3","1,888,050","1,963,240","2,010,330","27.1","27.2","27.0"
"Males","All age groups 3","10,731,340","11,087,100","11,415,130","72.0","71.9","71.2"
,"15 to 19 years 3","454,380","484,350","476,930","41.0","42.0","39.8"
,"20 to 24 years 3","940,690","1,000,100","1,050,320","86.4","85.7","83.9"
,"25 to 29 years 3","1,100,670","1,162,540","1,234,400","89.3","88.6","88.1"
,"30 to 34 years 3","1,134,590","1,201,790","1,273,860","89.9","89.2","88.4"
,"35 to 39 years 3","1,116,910","1,156,810","1,210,260","89.9","89.3","88.6"
,"40 to 44 years 3","1,050,660","1,090,680","1,139,970","89.6","89.3","88.8"
,"45 to 49 years 3","974,060","994,300","1,020,150","88.8","88.7","88.2"
,"50 to 54 years 3","955,750","964,330","968,080","87.1","87.3","87.0"
,"55 to 59 years 3","1,004,350","978,850","951,310","83.3","83.5","83.1"
,"60 to 64 years 3","878,110","894,350","904,100","73.3","73.7","73.2"
,"65 years and over 3","1,121,180","1,159,000","1,185,750","35.0","34.9","34.4"
"Females","All age groups 3","10,177,980","10,476,350","10,702,820","63.8","64.3","63.7"
,"15 to 19 years 3","455,540","479,160","468,910","42.6","43.7","41.2"
,"20 to 24 years 3","914,950","960,240","993,790","86.2","88.3","86.3"
,"25 to 29 years 3","1,068,710","1,108,750","1,157,750","85.3","86.5","85.5"
,"30 to 34 years 3","1,112,070","1,167,790","1,218,270","82.7","83.4","82.6"
,"35 to 39 years 3","1,093,470","1,125,480","1,163,360","82.1","82.5","81.8"
,"40 to 44 years 3","1,049,570","1,087,710","1,125,050","83.1","83.4","82.7"
,"45 to 49 years 3","982,860","1,004,220","1,026,360","84.0","84.3","83.9"
,"50 to 54 years 3","959,400","966,140","968,900","82.9","83.1","82.9"
,"55 to 59 years 3","977,760","955,720","931,080","77.5","77.7","77.4"
,"60 to 64 years 3","796,780","816,900","824,790","63.0","63.7","63.3"
,"65 years and over 3","766,870","804,240","824,570","20.4","20.7","20.5"




Footnotes:
1,"The data source for this table is the final version of the T1 Family File, created by the Centre for Income and Socio-Economic Well-being Statistics of Statistics Canada. Because they are based on a different methodology, estimates of the number of individuals and census families presented in this table differ from estimates produced by the Centre for Demography. Information on the data source, the historical availability, definitions of the terms used, and the geographies available can be found at <a href="https://www150.statcan.gc.ca/n1/en/catalogue/72-212-X" target="_blank"> Technical Reference Guide for the Annual Income Estimates for Census Families, Individuals and Seniors <span class="wb-inv"> - opens in a new browser window</span></a>."
2,"Labour income includes employment income and Employment Insurance (EI) benefits."
3,"Characteristics such as age are as of December 31 of the reference year."
4,"Statistics Canada is merging key administrative income data programs into one redesigned program – T1 Family File Plus (T1FF+). T1FF+ will fully replace the T1 Family File (T1FF) and the Administrative Personal Income Masterfile (APIM). The Longitudinal Administrative Databank (LAD), currently based on the T1FF, will become a derived product of T1FF+. The T1FF data release for the 2024 reference year will be delayed for six to eight months, from Spring 2026 to Winter 2026-2027. This will impact products such as web tables and custom tabulations. Census family and small area geography will be available on the T1FF+ early 2027 for both the 2024 and 2025 data. The redesign is expected to be fully implemented in early 2027. If you have any questions or concerns, please contact statcan.cisws-t1ffplus-csrbs-fft1plus.statcan@statcan.gc.ca. "
5,"The Census Standard Geographical Classification (SGC) is used for data dissemination of the census metropolitan areas and the census agglomerations: from 1997 to 2001, SGC 1996; from 2002 to 2006, SGC 2001; from 2007 to 2011, SGC 2006; from 2012 to 2016, SGC 2011; from 2016 to 2020, SGC 2016; as of 2021, SGC 2021.  Please note that census agglomerations were introduced in this CANSIM table in 2008."
6,"The participation rate of persons with labour income is the count of persons with labour income expressed as a percentage of the total tax filers and dependants for the same area."
7,"Total tax filers and dependants by age group is available in CANSIM table 1110005."



"How to cite: Statistics Canada. Table 11-10-0023-01  Tax filers and dependants 15 years of age and over with labour income by sex and age"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110002301
