,,,,,
,,,,,
,"U.S. full-time and part-time workers 1990-2024, by gender",,,,
,"Number of part-time and full-time employed workers in the United States from 1990 to 2024, by gender (in millions)",,,,
,,Part-time women,Part-time men,Full-time women,Full-time men
,'90,13.52,6.60,40.17,58.50
,'91,13.71,6.82,39.78,57.41
,'92,13.75,7.08,40.30,57.36
,'93,13.92,7.23,40.99,58.12
,'94,15.67,7.62,40.94,58.83
,'95,15.78,7.44,41.74,59.94
,'96,15.73,7.45,42.78,60.76
,'97,15.80,7.43,44.08,62.26
,'98,15.76,7.50,45.01,63.19
,'99,15.67,7.52,46.37,63.93
,'00,15.67,7.38,47.92,65.93
,'01,15.79,7.57,47.95,65.62
,'02,16.09,7.70,47.49,65.21
,'03,16.46,7.95,47.95,65.38
,'04,16.65,8.08,48.07,66.44
,'05,16.60,8.12,49.16,67.86
,'06,16.55,8.19,50.38,69.31
,'07,16.74,8.22,51.06,70.04
,'08,16.70,8.63,51.18,68.85
,'09,17.53,9.72,48.68,63.95
,'10,17.49,9.86,48.21,63.50
,'11,17.36,9.96,48.22,64.33
,'12,17.58,10.08,49.33,65.48
,'13,17.60,10.02,49.98,66.34
,'14,17.72,9.86,50.89,67.83
,'15,17.56,9.78,52.14,69.35
,'16,17.67,10,53.19,70.57
,'17,17.54,9.83,54.40,71.57
,'18,17.43,9.76,55.64,72.94
,'19,17.30,9.64,56.77,73.82
,'20,15.51,9.10,53.73,69.46
,'21,16.10,9.32,55.65,71.51
,'22,16.32,9.73,57.77,74.48
,'23,16.98,10,58.56,75.50
,'24,17.53,10.46,58.51,74.86
