Annual Average Employment by Gender – Canada (thousands),,,,,,,
Year,Total Employed,Men+ Employed,Women+ Employed,Women Share %,Women 15-24,Women 25-44,Women 45-64
1976,9747.5,6129.3,3618.2,37.1%,1160.5,1549.6,865.1
1977,9917.2,6187.8,3729.3,37.6%,1181.6,1639,866.3
1978,10220.3,6316,3904.2,38.2%,1213.9,1761.7,884.9
1979,10668.6,6528.7,4139.9,38.8%,1276.6,1886.6,932.5
1980,10984.1,6635.9,4348.1,39.6%,1318.8,2030.4,953.1
1981,11305,6748.4,4556.6,40.3%,1343.8,2176.6,987.2
1982,10943.7,6430.7,4513,41.2%,1248.3,2227.6,987.8
1983,11022,6416.3,4605.7,41.8%,1224,2328,1006.4
1984,11301.7,6552.2,4749.5,42.0%,1221.9,2454.8,1021
1985,11658,6702.9,4955.1,42.5%,1231.6,2592.5,1077.2
1986,12008.5,6870.3,5138.2,42.8%,1240.7,2771,1078.9
1987,12333,7025.3,5307.7,43.0%,1231.2,2890.5,1138.2
1988,12709.6,7178.2,5531.4,43.5%,1225.1,3045,1207.8
1989,12996.2,7292,5704.2,43.9%,1214.3,3172.7,1256
1990,13086.4,7277.2,5809.1,44.4%,1155.8,3288.3,1306.6
1991,12857.4,7066.9,5790.5,45.0%,1103.2,3287.9,1344.4
1992,12730.9,6960.8,5770.1,45.3%,1050.3,3250.7,1412.9
1993,12792.8,6994,5798.7,45.3%,1014.8,3254.5,1469.7
1994,13058.7,7141.9,5916.9,45.3%,1017.9,3290.2,1550.4
1995,13295.4,7260.8,6034.6,45.4%,1017.5,3339.5,1618.8
1996,13420.1,7319.1,6101,45.5%,998.8,3374,1667.2
1997,13708.2,7474,6234.2,45.5%,968.4,3433.6,1765.2
1998,14047,7616.7,6430.3,45.8%,1010,3472.7,1880.7
1999,14402,7791.7,6610.2,45.9%,1056.1,3504.8,1983.6
2000,14760.1,7971,6789.1,46.0%,1106.9,3525.2,2092.5
2001,14932.3,8025.3,6907,46.3%,1131.9,3521.9,2186.5
2002,15291.3,8173.8,7117.6,46.5%,1172.6,3538.3,2330.8
2003,15660.8,8340.9,7319.9,46.7%,1204,3530.9,2498.1
2004,15915,8463.3,7451.7,46.8%,1208.6,3549.8,2600.8
2005,16123.5,8578.9,7544.6,46.8%,1234.3,3529.3,2676.6
2006,16413.8,8712.6,7701.2,46.9%,1281.3,3521.2,2789.8
2007,16756.8,8855.8,7901.1,47.2%,1309.1,3558.3,2915.2
2008,16996.8,8972.5,8024.3,47.2%,1326.4,3536.2,3014.2
2009,16755.4,8742.5,8012.9,47.8%,1270.9,3502,3089.1
2010,16978.2,8878.2,8100,47.7%,1266.8,3505.2,3157.3
2011,17219.6,9057.6,8162,47.4%,1267.3,3518.3,3189.6
2012,17431.6,9164.8,8266.8,47.4%,1253.6,3563.9,3240.7
2013,17667.7,9283.7,8384,47.5%,1247.9,3629.1,3278
2014,17738.5,9336.2,8402.3,47.4%,1244.6,3632.9,3279
2015,17857.2,9405.2,8452,47.3%,1237.1,3626.5,3330.8
2016,17966.9,9438.9,8528,47.5%,1228.1,3675.5,3344.5
2017,18372.2,9669.2,8703,47.4%,1251.5,3771.1,3386.2
2018,18706.6,9850.4,8856.3,47.3%,1254.6,3860.1,3426.8
2019,19070.8,10030.1,9040.7,47.4%,1290.1,3949.4,3455.6
2020,18068.5,9575,8493.5,47.0%,1076.4,3820,3285.4
2021,18964.1,10010.1,8954,47.2%,1196.7,4023.7,3402.6
2022,19739.5,10367.5,9372.1,47.5%,1298.2,4225.4,3463.7
2023,20334.7,10703.5,9631.3,47.4%,1304.3,4401.8,3516.3
2024,20730.5,10936.3,9794.3,47.2%,1313.7,4534.8,3512.8
2025,21028.6,11104.8,9923.8,47.2%,1315.2,4633.6,3514.2
2026,20790,10880.2,9909.8,47.7%,1255.5,4649.9,3538.3
