,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Management occupations ,0.77,0.76,0.76,0.77,0.78,0.79,0.79,0.82,0.81,0.83,0.81,0.79,0.82,0.83,0.86,0.85,0.87,0.85,0.87,0.86,0.89,0.88,0.89,0.9,0.92,0.92
"Business, finance and administration occupations ",0.82,0.81,0.83,0.84,0.82,0.83,0.84,0.86,0.85,0.84,0.85,0.85,0.85,0.86,0.87,0.86,0.86,0.87,0.87,0.88,0.87,0.86,0.88,0.87,0.86,0.88
Natural and applied sciences and related occupations ,0.85,0.85,0.86,0.84,0.86,0.87,0.88,0.89,0.88,0.86,0.88,0.87,0.89,0.88,0.9,0.89,0.9,0.93,0.88,0.9,0.93,0.91,0.91,0.91,0.9,0.89
Health occupations ,0.93,0.97,0.94,0.94,0.99,1,0.97,0.9,0.96,0.97,0.98,0.98,0.95,0.98,0.96,0.96,0.95,0.97,0.96,0.94,0.94,0.95,0.94,0.93,0.95,0.98
"Occupations in education, law and social, community and government services",0.8,0.79,0.8,0.8,0.8,0.81,0.8,0.8,0.83,0.81,0.81,0.81,0.82,0.83,0.81,0.83,0.81,0.83,0.82,0.81,0.8,0.82,0.81,0.82,0.83,0.81
"Occupations in art, culture, recreation and sport ",0.84,0.88,0.87,0.84,0.88,0.87,0.91,0.82,0.89,0.89,0.89,0.92,0.95,0.9,0.89,0.9,0.92,0.91,0.93,0.91,0.91,0.9,0.9,0.92,0.88,0.91
Sales and service occupations ,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.82,0.81,0.84,0.84,0.84,0.83,0.84,0.85,0.85,0.84,0.84,0.84,0.85,0.86,0.87,0.9,0.88,0.9,0.9
"Trades, transport and equipment operators and related occupations ",0.74,0.74,0.72,0.74,0.74,0.74,0.72,0.73,0.73,0.75,0.76,0.77,0.75,0.77,0.78,0.8,0.77,0.78,0.76,0.76,0.8,0.78,0.8,0.79,0.81,0.81
"Natural resources, agriculture and related production occupations ",0.68,0.7,0.69,0.68,0.67,0.63,0.68,0.65,0.69,0.72,0.68,0.71,0.75,0.71,0.72,0.69,0.68,0.71,0.67,0.71,0.71,0.71,0.76,0.79,0.77,0.77
Occupations in manufacturing and utilities ,0.69,0.68,0.69,0.7,0.69,0.71,0.71,0.72,0.72,0.72,0.71,0.71,0.73,0.72,0.73,0.74,0.75,0.73,0.76,0.75,0.75,0.76,0.76,0.77,0.77,0.78
"Total employees, all occupations",0.82,0.81,0.81,0.81,0.81,0.82,0.82,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.88,0.89,0.89,0.88
