Subject,Sex,YOB,Marital Status,Sexual Orientation,Education,Race,Neighborhood,State,Income,Children,Grandchildren,Child 1,Child 2,Child 3,Child 4,Child 5,Encourage,Custody1,Vote,Party,National,State.2,Local,No Participation,Federal Legislators,State Legislators,Local Government,Grassroots,Town Meetings,Special Events,Public Spokesperson,Active Lobbier,Active Campaigning,Public Office,Space,Environment,Health,Big Cities,Crime,Drug Addiction,Blacks,Military,Foreign Aid,Welfare,Highways,Social Security,Mass Transportation,Parks,The Arts,Aids,The Homeless,Education.2,Banks,Companies,Religion,Educ,Exec,Labor,The Press,Medicine,Television
1001,Female,1936,Divorced,Heterosexual,Post-Graduate Work,White,Metropolitan Area,Michigan,"$30,001 - $40,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Democrat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Too Much,Too Little,Too Little,Don't Know,Don't Know,Too Much,Don't Know,Too Much,Too Much,The Right Amount,The Right Amount,Too Much,Too Little,Too Little,The Right Amount,Too Little,Don't Know,Too Little,5,6,6,3,3,5,5,5,7
1002,Female,1945,Never Married,Bisexual,Some College,White,Large Town,Arizona,"$10,000 - $20,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Green Party,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,The Right Amount,Too Little,Don't Know,Too Little,Too Little,Too Little,Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Too Little,The Right Amount,The Right Amount,The Right Amount,The Right Amount,Too Little,3,5,5,4,2,6,2,2,3
1003,Male,1932,Married Legally,Heterosexual,Post-Graduate Work,White,Secluded Rural,North Carolina,"$40,001 - $50,000",Yes,No,Group for 216,Group for 215,Group for 0,0,0,Yes,Not a single parent,Yes,Democrat,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Too Much,Too Little,Too Much,Right Amount,Right Amount,Too Little,Too Little,Too Much,The Right Amount,The Right Amount,Don't Know,Too Much,Too Little,Too Little,Too Much,The Right Amount,Too Little,Too Little,5,5,6,2,2,4,2,6,2
1004,Male,1952,No Response,Heterosexual,Less Than High School,White,Suburb,Colorado,"Less than $10,000",Yes,No,Group for 210,Group for 107,Group for 205,104,0,Yes,Joint Custody,No,Not Registered,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Much,The Right Amount,Too Little,The Right Amount,Too Little,The Right Amount,Too Much,The Right Amount,Too Little,Too Little,2,1,1,1,6,3,4,2,1
1005,Female,1957,Never Married,Heterosexual,Less Than High School,White,Secluded Rural,New York,"$20,001 - $30,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,No,Not Registered,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Don't Know,Too Much,Too Much,Too Much,Too Much,Don't Know,Don't Know,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,3,3,5,4,3,3,2,2,2
1006,Male,1927,Married Legally,Heterosexual,College Diploma,White,Rural Community,New Hampshire,"$40,001 - $50,000",Yes,No,Group for 219,Group for 215,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Little,Don't Know,Too Little,Too Little,Right Amount,The Right Amount,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,Too Little,3,2,6,5,6,6,6,6,7
1007,Female,1929,Married Legally,Heterosexual,Professional or Technical School,N/A,No Response,Oklahoma,"$60,001 - $70,000",Yes,No,Group for 222,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Democrat,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,Don't Know,Too Much,Too Little,No Response,Too Little,Too Little,Don't Know,Too Little,Too Little,Too Little,Too Little,Too Little,7,7,7,7,4,7,7,6,7
1008,Male,1952,Never Married,Heterosexual,College Diploma,White,Suburb,Florida,"$50,001 - $60,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,The Right Amount,Too Little,Don't Know,Too Little,Too Little,Don't Know,Don't Know,Too Much,Too Much,The Right Amount,The Right Amount,Don't Know,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Too Little,3,4,6,4,2,3,2,2,4
1009,Female,1931,Married Legally,Heterosexual,College Diploma,White,Rural Community,Connecticut ,"$70,001 - $100,000",Yes,No,Group for 214,Group for 0,Group for 0,0,0,No,Not a single parent,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Too Much,Too Little,Too Much,Too Little,Too Little,Too Little,Don't Know,Too Much,Too Much,Too Much,Don't Know,The Right Amount,Too Little,The Right Amount,Too Little,Too Little,Too Much,Too Little,4,6,7,6,6,4,4,1,7
1010,Female,1945,Married Legally,Heterosexual,Some College,White,Rural Community,Illinois,"$40,001 - $50,000",Yes,No,Group for 206,Group for 103,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,The Right Amount,Too Little,Too Little,Don't Know,Too Little,Too Much,Right Amount,The Right Amount,Too Much,Too Much,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,The Right Amount,Too Little,4,4,7,3,5,6,4,2,2
1011,Male,1958,Never Married,Heterosexual,Less Than High School,White,Suburb,Michigan,"Above $100,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,No,Not Registered,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,Don't Know,9,9,9,9,9,9,9,9,9
1012,Female,1953,Married Legally,Bisexual,Some College,White,Large Town,Connecticut ,"$40,001 - $50,000",Yes,No,Group for 102,Group for 0,Group for 0,0,0,Yes,Not a single parent,Yes,Independent,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,Right Amount,Too Little,Too Little,Too Much,Too Little,The Right Amount,Too Little,Too Little,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,4,5,6,6,5,4,6,4,6
1013,Female,1928,Married Legally,Heterosexual,Post-Graduate Degree,White,Small Town,Connecticut,"$70,001 - $100,000",Yes,No Response,Group for 220,Group for 218,Group for 0,0,0,No,Not a single parent,Yes,Independent,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Don't Know,Too Much,Too Much,Too Much,The Right Amount,Too Much,Too Little,Too Little,Too Little,The Right Amount,The Right Amount,Too Little,2,5,7,4,3,5,4,3,3
1014,Female,1937,Married Legally,Heterosexual,Some College,N/A,Large Town,Montana,"Less than $10,000",Yes,No,Group for 204,Group for 0,Group for 0,0,0,No,Not a single parent,No,Not Registered,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Too Much,Too Little,Too Little,Too Little,Too Little,Too Little,Too Little,Too Much,Too Much,The Right Amount,Don't Know,Too Little,Too Little,The Right Amount,Too Little,Too Little,Too Little,Too Little,6,5,7,3,3,4,4,3,4
1015,Female,1939,Never Married,No Response,Professional or Technical School,White,Metropolitan Area,Ohio,"Less than $10,000",No,No,Group for 0,Group for 0,Group for 0,0,0,Not Applicable,No Children/Children Grown,Yes,Independent,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Too Much,Too Little,Too Little,Too Little,Too Little,Right Amount,Too Much,Too Much,Too Much,Too Much,The Right Amount,Too Little,The Right Amount,The Right Amount,The Right Amount,Too Little,Too Little,Too Little,6,4,7,7,6,4,4,3,4
