Language,poison_ordeal,evil_eye,cannibalism,unconscious,conscious,innate,acquired,divination,coven,substance,familiars,hyena_2,owl_3,leopard_4,anteater_5,insect_6,snake_7,human_like_8,spirit_ghost_9,baboon_10,animal_human_11,elderly,male_only,female_only,both_sex,children,deaths_caused,inheritance_maternal,inheritance_paternal,familiars_supernatural,familiars_animals,longitude,latitude
Maberem_Mambila_Mambiloid,1,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,1,1,NA,NA,12,7
Vute_Mambiloid,1,0,0,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,1,NA,NA,12,6
Ndoro_Mambiloid,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,1,0,NA,NA,11,7
Mbembe_Jukunoid,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,0,NA,NA,10,8
Kenyang_Mamfe,1,0,1,0,1,0,1,NA,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,9,6
Ejagham_Ekoid,NA,1,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,0,1,1,1,0,0,0,NA,0,1,0,NA,NA,NA,NA,1,1,8,6
A22_Bakweri,1,NA,1,0,1,1,1,1,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,0,1,9.35,4.25
A75a_Fang_Bitam,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,11.49,2.08
A81_Kwasio,1,0,1,0,1,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,10.22,3.06
A84_Njem,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,NA,NA,1,0,14,3
A87_Bomwali,1,0,0,1,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,NA,NA,1,0,16.05,1.6
C34_Sakata,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,18,-3
C61_Mongo,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,0,NA,0,1,0,NA,1,NA,NA,0,1,20.5,-1
C85_Wongo,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,NA,NA,NA,1,1,21,-5
C41_Ngombe,1,NA,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,NA,NA,21.63,2.18
D21_Baali,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,NA,NA,26.54,1.1
D311_Bila,0,0,1,0,1,0,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,NA,NA,NA,NA,28.75,0.6
C36d_Lingala,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,1,0,1,NA,NA,21.63,2.18
H32_Suku,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,NA,NA,NA,17.75,-5.75
H16a_Kisikongo_2013,1,1,NA,1,1,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,NA,NA,NA,NA,14.25,-6.26
B86_Dzing,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,20,-4
H41_Mbala,1,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,NA,NA,NA,NA,17.76,-4.17
R11_Umbundu,1,0,0,1,1,1,0,1,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,NA,NA,1,0,14.6,-12.8
R31_Herero,NA,0,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,20,-20.8
D55_Buyu,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,28.6,-5.01
JE42_Gusii,1,1,1,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,1,1,0,NA,NA,34.8,-0.8
