author,workLabel,relation,date,language,placeLabel
William shakespeare,Hamlet,translation_of,2001-05-14T00:00:00Z,English,London
"Shakespear, W.",Romeo and Juliet,edition_or_translation_of,05/1999,English,London
Shakspeare,Macbeth,based_on,1997-01-01T00:00:00Z,French,Paris
"Tolstoi, Leo",War and Peace,based_on,March 2010,Russian,Moscow
Lev Tolstoy,Anna Karenina,translation_of,2013-04-02T00:00:00Z,Russian,Moscow
tolstoy,The Death of Ivan Ilyich,edition_or_translation_of,2015-12-01T00:00:00Z,Russian,Saint Petersburg
Gabriel García Márquez,One Hundred Years of Solitude,based_on,April 1982,Spanish,Bogotá
Gabriel García Márquez,Love in the Time of Cholera,translation_of,1999-01-15T00:00:00Z,Spanish,Bogotá
Gabriel García Márquez,Chronicle of a Death Foretold,based_on,1997-05-01T00:00:00Z,Spanish,Buenos Aires
Homer,The Odyssey,edition_or_translation_of,700 BC,Greek,Athens
Homer (Greek poet),The Iliad,translation_of,750 BC,Greek,Athens
Hoomer,Odyysey,based_on,700BC,Greek,Athens
